data__id,data__text,data__lang,data__created_at,author__username,data__author_id,data__conversation_id,data__public_metrics__retweet_count,data__public_metrics__reply_count,data__public_metrics__like_count,data__public_metrics__quote_count,data__reply_settings,data__possibly_sensitive,data__source,data__geo__place_id,data__referenced_tweets__type,data__referenced_tweets__id,data__in_reply_to_user_id,data__entities__hashtags__start,data__entities__hashtags__end,data__entities__hashtags__tag,data__entities__mentions__start,data__entities__mentions__end,data__entities__mentions__username,data__entities__mentions__username,data__entities__mentions__id,data__entities__urls__start,data__entities__urls__end,data__entities__urls__url,data__entities__urls__expanded_url,data__entities__urls__display_url,data__entities__urls__status,data__entities__urls__unwound_url,data__context_annotations__|,data__context_annotations__|__id,data__context_annotations__|__name,data__context_annotations__|__description,data__attachments__media_keys__001,data__attachments__media_keys__002,data__attachments__media_keys__003,data__attachments__media_keys__004,meta__newest_id,meta__oldest_id,meta__result_count
1192089189615099904,"RT @faureolivier: Quotas pour l'immigration économique : \""Inconséquent sur le plan sanitaire et scandaleux sur le plan humanitaire\"", estime Olivier Faure https://t.co/ik2wS3hf1a",fr,2019-11-06T14:39:45.000Z,@partisocialiste,19900973,1192089189615099904,70,0,0,0,everyone,False,,,retweeted,1191982126863933441,,,,,3,16,faureolivier,faureolivier,213754264,,,,,,,,,,,,,,,,,,
1192073751602577408,"RT @DSFEurope: Mesures du gouvernement sur la migration et l'asile : inadaptées et dangereuses \n  \n \""Le Président de la République livre en pâture les questions de migration, que l’opinion publique ne place pourtant pas parmi les sujets prioritaires.\""  \n  \n https://ymlp.com/zb8oPs https://twitter.com/DSFEurope/status/1192051810082721792/photo/1",fr,2019-11-06T13:38:24.000Z,@partisocialiste,19900973,1192073751602577408,16,0,0,0,everyone,False,,,retweeted,1192051810082721792,,,,,3,13,DSFEurope,DSFEurope,166933685,,,,,,,,,,,,,,,,,,
1191987766986518529,"😡Sur @franceinfo - @faureolivier à propos des annonces #Immigration 👉🏻 ""Inconséquent sur le plan sanitaire et scandaleux sur le plan humanitaire"" https://t.co/WX02ysbAQ0]",fr,2019-11-06T07:56:44.000Z,@partisocialiste,19900973,1191987766986518529,34,1,55,1,everyone,False,,,,,,55,67,Immigration,5,16,franceinfo,franceinfo,38395124,146,169,https://t.co/WX02ysbAQ0,https://www.francetvinfo.fr/societe/immigration/quotas-pour-l-immigration-economique-des-dispositions-inconsequentes-sur-le-plan-sanitaire-et-scandaleuses-sur-le-plan-humanitaire-pour-olivier-faure_3690223.html#xtor=CS2-765-[twitter,francetvinfo.fr/societe/immigr…,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,19,32,faureolivier,faureolivier,213754264,,,,,,,,,,,,,,,,,,
1191657635768131584,"""Plus exigeant sur l’accès aux soins, plus ferme face aux “abus” "" 👉 Comprenez ""moins soucieux des conditions sanitaires, plus inhumains dans le traitement de population en difficultés"". #decriptezles #Immigration https://t.co/j8qzMN1bDW",fr,2019-11-05T10:04:54.000Z,@partisocialiste,19900973,1191657635768131584,10,3,22,0,everyone,False,,,quoted,1191629085249691648,,187,200,decriptezles,,,,,,214,237,https://t.co/j8qzMN1bDW,https://twitter.com/faureolivier/status/1191629085249691648,twitter.com/faureolivier/s…,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,201,213,Immigration,,,,,,,,,,,,,,,,,,,,,,,
1191637448520015874,"RT @publicsenat: .@Valerie_Rabault : ""Le débat qui est mené ne devrait pas être sur l'immigration"" #BonjourChezVous https://t.co/iwEcu2AJL6",fr,2019-11-05T08:44:41.000Z,@partisocialiste,19900973,1191637448520015874,7,0,0,0,everyone,False,,,retweeted,1191612837749129216,,99,115,BonjourChezVous,3,15,publicsenat,publicsenat,40056514,116,139,https://t.co/iwEcu2AJL6,https://twitter.com/publicsenat/status/1191612837749129216/video/1,pic.twitter.com/iwEcu2AJL6,,,domain,3,TV Shows,Television shows from around the world,13_1191612791544614912,,,,,,
,,,,,,,,,,,,,,,,,,,,,18,34,Valerie_Rabault,Valerie_Rabault,443129202,,,,,,,,entity,10042226297,Débat,,,,,,,,
1189504739928694784,"RT @StephanTroussel: J’ai appris ce matin l’expulsion du bâtiment de l’ex-AFPA à #Montreuil. Les résidents de #Bara ont été relogés suite à la réquisition du bâtiment par @PatriceBessac, mais l’Etat doit permettre aux travailleurs #migrants sans hébergement de vivre dignement et d’être mis à l’abri",fr,2019-10-30T11:30:04.000Z,@partisocialiste,19900973,1189504739928694784,15,0,0,0,everyone,False,,,retweeted,1189165004785885184,,81,91,Montreuil,3,19,StephanTroussel,StephanTroussel,366600524,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,110,115,Bara,,,,,,,,,,,,,,,,,,,,,,,
